company,month,date,amount,amount_usd_m,round,valuation,valuation_usd_m,sector,country,region,ai,frontier,investors,note
xAI,2026-01,2026-01-06,$20.0B,20000,Series E,,,Frontier lab,US,US,True,False,Valor Equity Partners,Upsized round; proceeds directed at compute buildout.
SkildAI,2026-01,2026-01-14,$1.4B,1400,Series C,$14B,14000,Robotics,US,US,True,False,SoftBank; Nvidia,
humans&,2026-01,2026-01-20,$480M,480,Seed,$4.48B,4480,Frontier lab,US,US,True,True,SV Angel; Georges Harik; Nvidia; Jeff Bezos; GV,"One of the largest seed rounds in tech history. Multi-agent RL, memory, long-horizon planning."
Baseten,2026-01,2026-01-23,$300M,300,Series E,,,AI infra,US,US,True,False,IVP; CapitalG,Raised again five months later at $1.5B.
OpenEvidence,2026-01,2026-01-21,$250M,250,Series D,$12B,12000,Health AI,US,US,True,False,Thrive Global; DST Global,
Decagon,2026-01,2026-01-28,$250M,250,Series D,$4.5B,4500,Agents/apps,US,US,True,False,Coatue; Index Ventures,
Flapping Airplanes,2026-01,2026-01-28,$180M,180,Seed,,,Frontier lab,US,US,True,True,GV; Sequoia Capital; Index Ventures,Data efficiency in model training. A $180M seed against an unsolved problem.
Arena,2026-01,2026-01-06,$150M,150,Series A,,,Agents/apps,US,US,True,False,Felicis; UC Investments,
Inferact,2026-01,2026-01-22,$150M,150,Seed,$800M,800,AI infra,US,US,True,False,Andreessen Horowitz; Lightspeed,
PaleBlueDot AI,2026-01,2026-01-28,$150M,150,Series B,,,Agents/apps,US,US,True,False,B Capital,
LMArena,2026-01,2026-01,$150M,150,Series A,$1.7B,1700,Data/eval,US,US,True,False,,Aggregator-sourced; thinner sourcing than the rest of January.
Deepgram,2026-01,2026-01-13,$130M,130,Series C,$1.3B,1300,Agents/apps,US,US,True,False,AVP,
Poetiq,2026-01,2026-01,$45.8M,45.8,Seed,,,Frontier lab,US,US,True,True,,Below the $100M threshold. Included because the recursive self-improvement thesis matches Recursive's at a fraction of the price. Aggregator-sourced.
Anthropic,2026-02,2026-02-12,$30.0B,30000,Series G,$380B,380000,Frontier lab,US,US,True,False,Accel; Microsoft; Nvidia; Sequoia Capital; Founders Fund; Coatue; GIC,Second-largest private venture deal in history at the time it closed.
Waymo,2026-02,2026-02,$16.0B,16000,Series D,$126B,126000,Autonomy,US,US,True,False,Alphabet; Andreessen Horowitz; Temasek; Dragoneer; DST Global; Sequoia Capital; Silver Lake,Largest autonomy round ever raised.
Wayve,2026-02,2026-02,$1.2B,1200,Series D,,,Autonomy,UK,Europe,True,False,Nvidia; Microsoft; SoftBank Vision Fund,
World Labs,2026-02,2026-02,$1.0B,1000,Venture,,,World models,US,US,True,True,Andreessen Horowitz; Nvidia; Autodesk,Fei-Fei Li. $1.23B raised in total; Marble commercial launch in the same month; $200M Autodesk deal.
Moonshot AI,2026-02,2026-02,$700M,700,Venture,,,Frontier lab,China,China,True,False,Alibaba Group; Tencent; Wucuan Capital,First of three 2026 raises.
Neysa,2026-02,2026-02,$600M,600,Venture,,,AI infra,India,Asia (ex-China),True,False,Blackstone Group; Nexus Venture Partners,
Apptronik,2026-02,2026-02,$520M,520,Series A,,,Robotics,US,US,True,False,Google; John Deere; Mercedes-Benz,
ElevenLabs,2026-02,2026-02-04,$500M,500,Series D,$11B,11000,Agents/apps,UK,Europe,True,False,Sequoia Capital; Andreessen Horowitz; Nvidia,
MatX,2026-02,2026-02,$500M,500,Series B,,,AI chips,US,US,True,False,Marvell; Spark Capital; Jane Street,
Ayar Labs,2026-02,2026-02,$500M,500,Series E,,,AI chips,US,US,True,False,Nvidia; Sequoia Capital; AMD Ventures,Optical I/O.
Inertia,2026-02,2026-02,$450M,450,Series A,,,Energy for AI,US,US,False,False,GV; Bessemer Venture Partners,Fusion energy.
inKind,2026-02,2026-02,$450M,450,Venture,,,Other,US,US,False,False,Jenny Just; Matt Hulsizer,
Vestwell,2026-02,2026-02,$385M,385,Series E,,,Other,US,US,False,False,Franklin Templeton; Blue Owl Capital,
SambaNova,2026-02,2026-02,$350M,350,Series E,,,AI chips,US,US,True,False,Vista Equity Partners; Qatar Investment Authority,Raised $1.0B more in July.
Axiom Space,2026-02,2026-02,$350M,350,Venture,,,Other,US,US,False,False,Qatar Investment Authority; 1789 Capital,
Runway,2026-02,2026-02-10,$315M,315,Series E,$5.3B,5300,Agents/apps,US,US,True,False,General Atlantic; Nvidia; Adobe Ventures; Fidelity; Felicis,
Temporal Technologies,2026-02,2026-02,$300M,300,Series D,$2.8B,2800,Dev tools,US,US,False,False,Andreessen Horowitz; Sequoia Capital,
Skyryse,2026-02,2026-02,$300M,300,Series C,,,Autonomy,US,US,True,False,Qatar Investment Authority; Fidelity,
Kavak,2026-02,2026-02,$300M,300,Series F,,,Other,Mexico,Other,False,False,Andreessen Horowitz; Lingotto,
